distances_dijkstra,distances_euclidean
5004.149313428656,3890.2605606100174
5956.710351977776,4122.75706599395
9126.103410809344,5980.614192928235
6988.823177894383,4733.789588158335
8965.120597969128,4460.7145990384615
6462.717746619796,3361.5116638838276
2623.982855772898,1702.0390992505515
7036.5304023688195,5202.3644662555425
10500.61815417747,4613.122056569427
758.4462136858504,573.0647385464033
6062.91921553912,4193.3284417026525
7502.557581667859,5135.751444264916
6639.548252030745,4874.039945037016
4882.597256692256,2806.337256962372
2759.680665726632,1971.9175384860037
5779.107655445483,3405.7695154436205
5285.263190254644,3264.4926464248474
6330.508933567425,4728.175675978237
8415.623899258573,5892.430060973923
4715.600273748611,2766.5165538970978
8349.686789604257,4683.471003430293
7455.746148424719,4543.882734157403
6362.890238484644,4177.1504992189975
8495.650896442614,5922.974663404501
5252.33830121936,3824.3416346174713
9411.092301072558,4335.123659888473
6840.748386866333,4553.001004567823
9209.853938473432,6117.226452545898
4659.723087338952,3080.1857709452192
3422.9944825776124,2089.0593630696267
5470.268134418858,3790.5000719332375
8685.553043888376,5802.971724806793
8174.440595335976,5957.818980417885
3232.5341298058097,1605.75266080879
6589.119026316862,4999.555701346512
6343.810409762191,4530.786627598428
2247.9300054025075,568.2573886566574
10835.827012001317,4886.060364194023
9720.784408602536,5580.455600032968
8980.856933642395,6492.585987241332
5048.886066741531,2957.9188934224558
6167.355658147183,4384.408856825015
4265.437809852481,3289.7585204678817
8452.856014673294,6003.907664934075
7448.822071408609,4980.039728635966
5127.883359043365,2810.5477159417314
412.38272912622546,317.2548978666376
9591.595842859972,6515.543412158205
6371.093537699346,3841.861828607477
5754.284726290738,4120.705555940741
6749.685229516983,4453.704038836954
6668.06617119173,4484.919141783125
3138.1118585412733,2073.3238158794147
4883.342988643658,2724.34468768344
7353.937230866154,5631.485747056903
5257.07420968519,3632.993628844576
2179.0778954969755,1618.4386586389335
7970.4308502366375,6014.99688994535
2737.7978481417153,1900.4102602184764
8896.45990161612,6032.703453939222
7413.307407479216,5900.457170220672
7073.675294539434,4990.848261175747
4958.14371981884,4005.4563336050755
4922.780624687526,3363.5455863127577
5561.172859237212,3934.8418677190148
1895.6094238749115,1346.401635073705
6173.686937610897,4676.010521943832
9952.916125742404,7875.8746227174815
7022.750277065741,5394.074670508196
6710.376965349913,5016.178325752105
7392.503212566584,5017.137439798388
4673.900718722503,2829.3983405078925
3519.138040577254,2114.6526612384337
11015.346028177277,4761.283331417268
3768.3495234141997,3058.4222732212907
9722.889832146668,7814.311042094075
10303.649716106393,4772.437852468293
6886.048600928705,4807.551361831863
8692.349795073187,6174.06508929468
6094.482208010844,3998.46297010886
3335.1069345539167,2835.580082797282
6175.540070084904,4460.408372412814
1557.3440307855278,1033.798933824926
8322.091790733974,6483.591629780545
8655.54507667666,6466.813570702562
6595.257295991486,4451.528911287072
7153.442962336065,5084.629356433447
3375.8010244217603,2258.9833434745256
6883.988860811191,4030.7859224548533
1493.6950518037283,1000.5872229199574
5282.37418001072,3711.585404659248
4695.172002882261,1916.8829504425894
10527.109843775188,4585.200531282926
8910.314316964343,6038.0075312270465
4502.3038226626095,3522.5890752531054
4741.963300559851,3248.9153504537785
5467.646541410002,4107.648306755405
8189.477110457021,5456.554427363029
5267.715103226282,3576.5741023432743
7670.780227519673,5623.322942788446
6477.2278461117185,3811.48485549875
6954.584193562163,5619.700722968328
2537.2184158547498,791.599581906072
1142.5619660185,873.6389588227506
3151.2367806844663,2900.347692916158
4227.810417987537,3036.487718412549
1468.8058125081457,905.5089075577747
7004.0353933881715,3878.8000330481414
2839.2479538143493,2405.895965019923
4014.430955209742,3080.469121053109
3830.8282676494646,2926.5512332205267
4952.800700386835,3432.24273351703
2231.345525122657,1976.795265321162
5781.396083835281,4203.620473041398
2319.0421529647288,1919.3147381806311
3987.4528907421745,3581.3295572013094
7058.746512336816,5609.413461311185
4785.80371744319,3383.6204934939497
2329.1715708693373,1429.6110525588608
3630.662682970212,1891.566408388225
5957.953282914984,4507.090522297555
5007.524269984498,3655.3706179163
2820.966096170837,1592.4330603516555
1195.3474057230662,610.758826458558
5759.296360527603,4356.63646599052
8112.422871541081,6186.279224530502
3211.8485141288447,2545.5452519924656
2624.2275074591375,2319.0798332742634
4073.79949772438,2942.6790053382197
7391.701613088054,5805.310102550193
6817.56320841422,5468.149976395657
5425.049624225374,3354.4312038368653
2967.5260500773466,2426.672266129103
4283.833790619058,3143.858011420474
4434.914639843631,3706.2273366540244
2620.082116651821,1772.2030893146477
7071.9088439049065,2092.1863504997664
6331.981368944774,4381.017085909097
5117.399531093821,3647.103343692532
4796.107169343918,3517.2443642164144
1001.8532061682157,717.2234241442047
7095.9786277515395,5632.699415100688
6359.413399661682,4635.656238806807
2471.4398221008887,1837.898051689068
4699.466737386462,3669.3651515696934
8494.16477592762,6810.482100206073
2131.2289626878096,1848.507198208733
4357.81608959626,3151.6469449879714
6344.748273947323,4891.649453850728
6758.691382865057,5372.462668012385
5709.918505176076,3821.222056387647
4953.546432338237,3487.227593410646
5517.3554220805845,4439.043214819636
3860.6055729907125,2933.2880514258336
3921.872619749238,2782.4179471586826
5321.55528553901,3386.0639995277206
6196.085910865655,4272.742901168526
6247.584336918493,3958.6694573009972
4267.474006171807,3244.2003049405616
5716.797907617679,4375.7713344164895
8416.431782542779,5980.821309826465
6636.850500229421,4714.443905822526
3257.5605827174377,2901.100776838165
4215.775868837901,3017.5205989949427
2685.5603111527807,2257.4711147462313
8091.662532758058,6575.603569314609
5186.1684682801715,4128.871737916564
2848.047170749846,2342.726048702045
7241.666363761089,5815.481952853055
2925.42246242175,2218.106647940525
4392.094164694177,3124.837739435788
2799.6011328277823,1554.6084346264515
1235.7997900144533,893.4453979598943
7861.636239162322,6423.649241143012
1594.3094914394842,1053.2938824103308
5670.089575493841,4435.579820812113
5204.223168615071,3876.5159771870644
5697.950626516448,4246.797627384766
1671.6403849028975,1196.9126211346586
3211.3061795307403,2575.2918359430587
3430.1334651309385,2953.894912419068
6460.838197749624,5124.786278228386
6794.29148369231,5231.922977476308
5202.450907831474,4057.967017385645
5195.559830748819,4012.559156948072
5813.2470587642365,4016.721803928906
6973.0785440267155,5243.969001407313
4610.996385128235,3349.528289699567
3885.905543316242,2781.6975150471685
4052.0807619547722,2856.7252458690123
1415.756979537731,916.3304268818732
7837.828313263365,6380.80354612963
764.9030979287639,583.8784954819107
6456.033176101746,4697.319894110829
708.0113409969174,407.58589792240696
6866.16107772552,5303.131042855345
3910.8377163045266,3110.2114040010233
8455.105723298906,4626.257744050815
1322.0427655790625,890.2907586675203
8294.122910458687,5610.818925290741
6244.011847467703,4749.6976835171745
7097.771548413165,5420.035493452631
6365.532714858379,4317.132495845733
9829.62046666703,6524.174917766999
5358.450125023328,3551.709015006525
5391.921528028682,3822.366357353714
11559.178163048802,8256.085042295259
5968.550564520307,4014.3658961945216
2697.8089208648216,2200.258336374873
6928.79599701389,4839.58047855135
1920.219728430377,1434.7043731265326
5067.245584377112,3745.683908122666
5659.511246056987,3164.6194538704517
5192.535966016449,2628.2292906342873
2754.7893319548484,2252.2435840425715
7678.6891020938165,5261.968452628963
6784.7484609142775,4652.129117388176
2132.7374561326496,1532.6042158100104
12552.271477823555,8987.541962196106
7817.426405802869,6625.009024626666
8740.094613562123,6234.014620030679
2846.5954910283676,2107.905147927334
3797.915221100751,2463.4965778975675
4120.71180382756,3096.1549160648656
7299.853229459102,5445.575841644679
4073.768566181433,2984.0510414570304
3139.544070337058,2309.1987413945317
4951.352662093851,2865.2360210819365
7706.3228224460745,5549.604370952708
10512.273257916406,7808.65388775176
5672.812722251752,3407.6641506654473
6721.718698042775,4648.290095627051
10164.829324490882,7322.513754564613
9049.786721092098,5946.811519140659
8309.859246131957,4832.732028056004
2464.1803526119033,1978.033727733588
4374.047138124877,2865.6806382266145
6387.745468121061,4941.914399710443
5229.768081431171,2777.412857262628
3225.2074326307784,2319.5748515583027
4853.652960850479,3796.0491374342278
5529.259025581473,3904.543515718818
3915.3258890918505,2621.43382189135
5700.095850188907,4075.584993412595
4486.043609291184,3012.2949239468226
2519.532447164989,1357.2609835547253
975.2781562724455,807.8724761968626
2763.383783037668,2214.8489435355286
2567.302393463775,2161.013161047445
5282.779301272204,3436.0546566086505
3961.336009674492,2900.6044125188464
5071.651893667092,3369.701494078187
7299.433162726199,5147.9676965108365
3026.7364755124636,2222.8692855675445
8225.46221410568,4548.804019884902
11812.22121401087,8722.029140809114
4146.236992971795,2621.4710858498547
925.3353280656479,675.0871571457441
1043.1721706626017,933.820722770573
4890.175171726773,3125.416048412768
5469.555309113862,3364.1341859769573
10230.30751899184,7540.296001975186
7821.982501331606,4937.786907067614
