,Y,X
1362,6164.437572775714,4438.251338946912
1363,7200.280756577657,5237.438919578258
1364,5353.090497862487,3922.872396523353
1365,3683.0771663867486,2628.864950356275
1366,13745.943402267025,7867.777857106379
1367,13926.784943802571,11005.521496977666
1368,15380.627256784344,11491.122917914514
1369,8845.491597124488,7057.145347333073
1370,11760.040597978552,10064.76992621148
1371,5512.902317655799,2860.389506404273
1372,13714.100134406739,11629.192161538573
1373,6727.668836546242,5450.443666718786
1374,5500.422517549827,4295.076404133488
1375,11344.396945466247,9013.765390277791
1376,10838.818267131355,8623.43538988265
1377,4867.280510748355,3744.4767684270278
1378,16207.867017246273,13047.592209343868
1379,14309.074497902177,11236.101019460546
1380,10434.027512124567,8176.6385867169665
1381,10034.928849322863,6067.133102171794
1382,10881.84835502807,8541.64063964417
1383,12212.464458088227,10134.49067891349
1384,5002.9179381010335,4140.252090159926
1385,15258.533026320649,11951.491464008768
1386,9119.855366516313,6514.280899918721
1387,21142.370018437356,17055.404689213086
1388,11876.994686854685,9757.769884797228
1389,9518.827819951675,8260.649948252309
1390,7935.097875812214,5861.19452627718
1391,8728.240409268385,6855.904354373562
1392,14310.268659452082,9459.605203563768
1393,4954.736295577285,3290.279151817686
1394,7652.280989474926,5741.057988431361
1395,1058.9164721885682,683.2669328282063
1396,7715.012191815702,5670.35251539983
1397,6204.4375410233915,4369.409352658037
1398,10454.516396867513,7374.148995235337
1399,12336.549296560846,7037.28710953369
1400,4354.095815155888,3139.039589336546
1401,7737.453382485202,5492.00732303857
1402,6191.763384141832,4620.295225061325
1403,13533.58401911544,6169.626613716085
1404,20562.76735177162,13571.957694285498
1405,14171.264444621482,11017.47836255405
1406,10625.054863095165,7870.7947134025935
1407,16812.664820288057,12281.97614938378
1408,18067.864481663797,13395.379115629254
1409,13345.407196716698,8333.827029221442
1410,3055.963914241528,2381.74739742537
1411,8362.382941954722,6509.961606164119
1412,6459.448128601882,5188.02723537198
1413,15156.427742047159,12399.031204493695
1414,15771.366303562485,10570.98799950703
1415,862.4041707042886,676.6143622317109
1416,4361.434265213258,3328.2881379977603
1417,3398.3433194416302,2434.7497077027633
1418,37410.48397728148,24630.1477723732
1419,26714.181897166516,19069.66228759369
1420,36792.00530603573,25786.032928691344
1421,31475.837367281303,21361.17532353347
1422,25194.641358697045,17101.35304853378
1423,16108.63841056005,12080.378606482649
1424,21435.1604521343,16755.43103836104
1425,12948.13170515408,10602.462321565914
1426,25317.679694002756,16823.628556876698
1427,27389.236030995802,18701.871842112654
1428,31865.893857614155,23587.187117842197
1429,11066.735159365853,9581.566042049822
1430,25483.78742564471,17585.966947229605
1431,31713.958824130503,22149.761167135966
1432,31910.708465791457,21826.011150788592
1433,1768.9244595440937,1293.4608783090237
1434,5257.679441310967,3028.1771606942325
1435,26376.107701821147,17173.278515851493
1436,33997.485022069406,22814.634286306515
1437,10862.627497582673,9475.00422701418
1438,34824.5159765252,24448.89457635194
1439,32880.714228390134,21700.709594589902
1440,28677.8048985395,18882.65652372987
1441,10431.524520209818,7265.53103119169
1442,22032.721507115453,16999.518943197796
1443,19309.803489487742,12045.796643680502
1444,11151.937381903721,9127.217561351148
1445,18219.61885982761,13878.814825252626
1446,6722.9768624253675,5311.961251686795
1447,35228.03213070899,23664.93944015618
1448,3255.5232627289365,1794.5909301049123
